lat,lon
28.426325613654498,121.98931779474833
28.423292970285807,121.9880344955653
28.42021656266242,121.98672705399083
28.417093707334416,121.98547567893482
28.41411910007657,121.98407454178874
28.41102237279292,121.98274262676841
28.40795370691241,121.98137917825977
28.40484661193844,121.97999264365211
28.40179230917439,121.9786074544945
28.39868279822127,121.97719551383138
28.39558983879708,121.97573363534106
28.392496607267567,121.9742453568285
28.389397473084223,121.9728029165471
28.3862708760392,121.97126141677684
28.38320008579808,121.96978512629968
