model,lon,lat
BiLSTM,121.98959602585809,28.427244490231445
BiLSTM,121.9881593824343,28.42412191427212
BiLSTM,121.9868390511472,28.421053969601665
BiLSTM,121.98542193810712,28.418080648445127
BiLSTM,121.9839923526933,28.414971014266857
BiLSTM,121.98258297445867,28.41195780696544
BiLSTM,121.98116621593051,28.409012490974455
BiLSTM,121.97968567748592,28.405952290156595
BiLSTM,121.97823108286786,28.402941947019833
BiLSTM,121.9767350748124,28.399994297265057
BiLSTM,121.9752497021144,28.396957328004984
BiLSTM,121.97373561395123,28.394008935688998
BiLSTM,121.97224846869366,28.391002623598794
BiLSTM,121.97069264480953,28.387991643981
BiLSTM,121.96921349218422,28.384928897239
